Snapshot,Time_Gyr,Redshift,ExpansionFactor,Delta800,Delta1000,Delta1200
165.0,8.448811765562718,0.524565820433923,0.6559244517992534,17.349256795519466,9.75629004997479,6.128810206550764
166.0,8.500152011163197,0.517359041198215,0.6590398006330319,17.38415027665102,9.773828534460439,6.136914885478086
167.0,8.60349865622863,0.5030475232448832,0.6653149581332802,17.457047625740746,9.810015149546524,6.15273191728351
168.0,8.655504463607784,0.4959424632103344,0.6684749076872729,17.492545383831086,9.826978824553409,6.160241630055992
169.0,8.707731506701299,0.4888709895243979,0.6716498655934172,17.52935162794587,9.844319043739013,6.16736873240075
170.0,8.760179450310375,0.4818329434209512,0.6748399031346985,17.57425081127867,9.860607177703397,6.174309387342394
171.0,8.812847943620643,0.4748281668843797,0.6780450919326629,17.62824069345909,9.877209498211808,6.181693722332634
172.0,8.865736620236028,0.4678565026460244,0.681265503949027,17.677382307016718,9.894552115767974,6.189837263745967
173.0,8.918845098217659,0.4609177941806475,0.684501211487295,17.736718556915164,9.910413339771775,6.198021518239882
174.0,9.025719853078499,0.4471386221639513,0.6910188040622322,17.903664510091158,9.939755005265088,6.218595040743545
175.0,9.079485288786328,0.4402978492477432,0.6943008354294861,17.965555274471683,9.954648886474299,6.2263605982155825
176.0,9.133468843630705,0.4334894133677889,0.6975984549831,18.014623500388335,9.970334229969994,6.233295238724873
177.0,9.187670058718282,0.42671316166359796,0.7009117367600118,18.06226769378196,9.987480980596679,6.239970795994102
178.0,9.242088459951992,0.41996894199726653,0.7042407551488017,18.102885410910666,10.00192796542393,6.247036828717987
179.0,9.296723558105112,0.4132566029500593,0.7075855848913641,18.138634560707363,10.015937647351475,6.25392289111976
180.0,9.351574848900265,0.4065759938190152,0.7109463010845829,18.173826276720398,10.030356651188798,6.260726602063093
181.0,9.406641813093389,0.3999269646135635,0.7143229791820179,18.205798305164922,10.045199367159288,6.268101221431832
182.0,9.461923916562668,0.3933093660521487,0.7177156949956023,18.24080108703838,10.060136419038674,6.27561972452853
183.0,9.573131331020738,0.38016786726023866,0.7245495448210172,18.30889701068041,10.087580173958148,6.290302341861421
184.0,9.629055500244888,0.3736436719816565,0.7279908322639249,18.345205155699972,10.102194245268096,6.298332071708587
185.0,9.685192525427432,0.36715031724431757,0.7314484642885792,18.38120725864222,10.11576902266651,6.305783490752058
186.0,9.741541799560094,0.36068765726181673,0.7349225185244588,18.413091846493227,10.129589233319418,6.312148148133222
187.0,9.798102701391112,0.3542555469368929,0.7384130729697496,18.44434405148039,10.144017031182145,6.318469316541946
