Snapshot,Time_Gyr,Redshift,ExpansionFactor,SubhaloGasMassUnder10000K_Msun,SubhaloGasMassUnder20000K_Msun,SubhaloGasMassUnder50000K_Msun,SubhaloGasMassUnder100000K_Msun,Suite,Simulation,Galaxy
69,4.51264561130662,1.4140982203725216,0.4142333528772864,2815233024.0,18331437056.0,32293562368.0,41911054336.0,Au,17,
70,4.667681813768118,1.3575766674029972,0.4241643607295944,3144102400.0,19375859712.0,34628837376.0,44962009088.0,Au,17,
71,4.827489579195381,1.3023784599059651,0.4343334588184266,2814960128.0,18620153856.0,33090848768.0,42917814272.0,Au,17,
72,4.992162284945694,1.2484726142451428,0.4447463552211064,2358241280.0,15949692928.0,28052834304.0,38229028864.0,Au,17,
73,5.127463975584815,1.2062580807810006,0.4532561302374954,1637267840.0,14671516672.0,28143292416.0,37539975168.0,Au,17,
74,5.301118608921481,1.1546027123602154,0.4641226868709222,1049331072.0,11209768960.0,23399698432.0,33220567040.0,Au,17,
75,5.443716379840261,1.1141505637653806,0.4730032085410998,1082340608.0,11575718912.0,23305852928.0,32003919872.0,Au,17,
76,5.589624137566063,1.074457894547674,0.4820536500780824,794209472.0,8613725184.0,21473589248.0,30386069504.0,Au,17,
77,5.738880497072539,1.035510445664141,0.4912772627279358,1396428288.0,12376817664.0,22787844096.0,31429341184.0,Au,17,
78,5.930215178562359,0.987852810815766,0.5030553542792862,933853184.0,9476517888.0,17568290816.0,26318661632.0,Au,17,
79,6.087135431528504,0.9505313515850328,0.5126808134549512,858318080.0,9415866368.0,18411954176.0,26815182848.0,Au,17,
80,6.207093384097111,0.9230008161779087,0.5200205801199638,564316544.0,5890134528.0,15338447872.0,23730456576.0,Au,17,
81,6.370083836372647,0.8868969375752482,0.5299706518603222,489689568.0,5427342848.0,15072035840.0,22676711424.0,Au,17,
82,6.536579634205232,0.8514709006246495,0.5401111082343341,480337024.0,5021108224.0,14392682496.0,21281994752.0,Au,17,
83,6.706603691236406,0.8167099790118506,0.5504455920608321,462928128.0,5083621376.0,13183330304.0,19830544384.0,Au,17,
84,6.836449148310662,0.7910682489463392,0.5583260161014446,510016832.0,6678063616.0,14680403968.0,20601540608.0,Au,17,
85,7.012693145756433,0.7574413726158526,0.5690090239036288,353112640.0,3293681152.0,11884102656.0,18257463296.0,Au,17,
86,7.147221247683246,0.7326361820223115,0.5771552102951079,338230720.0,4679776768.0,11485126656.0,16800260096.0,Au,17,
87,7.329727457563047,0.7001063537185233,0.5881984958251407,262739488.0,2832932608.0,10665029632.0,17036708864.0,Au,17,
88,7.468962790806977,0.6761104112134777,0.596619407235837,276194080.0,2932005632.0,11557668864.0,18639464448.0,Au,17,
